Name,Ticker,Buy & Hold Return [%],Return [%],# Trades,Win Rate [%],Profit Factor,Sharpe Ratio,Start,End,Strategy
光菱,8032-TW,7.739557739557735,-25.838995,12,33.33333333333333,0.7053003270637092,-0.1203088251651929,2003-10-02,2025-09-30,"B[1,7,59]S[1,7]"
大將,1453-TW,270.6199460916442,-41.92820599999998,13,23.07692307692308,0.7412405993947934,-0.1202731031602346,2000-01-04,2025-09-30,"B[1,7,59]S[1,7]"
德晉,3466-TW,-56.6990291262136,193.36386500000003,6,50.0,14.677928007010903,0.3286769039081885,2006-05-17,2025-09-30,"B[1,7,59]S[1,7]"
新洲,3171-TW,136.05150214592274,51.80292000000002,15,40.0,2.0129517358361686,0.1537499088438112,2004-09-17,2025-09-30,"B[1,7,59]S[1,7]"
鉅明,8928-TW,94.921875,-6.732124999999989,14,21.428571428571427,1.001767872090921,-0.0229185720283573,2001-02-02,2025-09-30,"B[1,7,59]S[1,7]"
博磊,3581-TW,77.73437499999999,80.079995,13,38.46153846153847,2.1522210743963828,0.1623858475962367,2015-01-20,2025-09-30,"B[1,7,59]S[1,7]"
台蠟,1742-TW,-40.082644628099175,-46.80469499999999,15,20.0,0.174160535912414,-0.1887759920434816,2004-05-14,2025-09-30,"B[1,7,59]S[1,7]"
弘裕,1474-TW,-52.4390243902439,-57.42411700000004,19,15.789473684210526,0.1730047308995493,-0.241987005546014,2000-01-04,2025-09-30,"B[1,7,59]S[1,7]"
單井,3490-TW,-45.340909090909086,37.81696499999999,9,33.33333333333333,2.101239367322681,0.1041161973692261,2007-10-15,2025-09-30,"B[1,7,59]S[1,7]"
喬福,1540-TW,180.8988764044944,108.05541999999996,13,30.76923076923077,3.8317072743988088,0.213797643388707,2000-01-04,2025-09-30,"B[1,7,59]S[1,7]"
萬旭,6134-TW,-51.32113821138212,374.44033099999984,9,55.55555555555556,9.447212281853632,0.2421336028627756,2002-01-08,2025-09-30,"B[1,7,59]S[1,7]"
華興,6164-TW,-35.16129032258064,-12.582333000000007,11,45.45454545454545,1.020218566492522,-0.0404113894883594,2002-04-02,2025-09-30,"B[1,7,59]S[1,7]"
尚立,3360-TW,-41.59090909090909,-9.498155000000006,12,50.0,1.1094433574603555,-0.0271074515183862,2006-06-06,2025-09-30,"B[1,7,59]S[1,7]"
聚隆,1466-TW,361.2299465240641,-67.52873499999997,16,6.25,0.3547474448917493,-0.2505285636577308,2000-01-04,2025-09-30,"B[1,7,59]S[1,7]"
晉倫,6151-TW,53.906250000000014,34.75706499999999,9,33.33333333333333,3.5466493310974534,0.1187078840664765,2002-02-25,2025-09-30,"B[1,7,59]S[1,7]"
聯一光,3441-TW,-15.223097112860904,21.615375,16,37.5,1.7294136056848486,0.0451508181161557,2010-10-04,2025-09-30,"B[1,7,59]S[1,7]"
青雲,5386-TW,375.187969924812,-18.34053000000001,9,33.33333333333333,0.8794538088358103,-0.0438951259133369,2000-01-04,2025-09-30,"B[1,7,59]S[1,7]"
合騏,8937-TW,362.5668449197861,754.5786450000002,15,40.0,12.043542659777629,0.4553259626571678,2002-10-29,2025-09-30,"B[1,7,59]S[1,7]"
芮特-KY,6514-TW,-59.03225806451613,-14.66166999999996,9,33.33333333333333,0.972529025372804,-0.0746833212704389,2015-12-02,2024-10-08,"B[1,7,59]S[1,7]"
大甲,2221-TW,-44.11764705882353,-52.30550999999999,12,33.33333333333333,0.285604262403014,-0.2543426908160488,2007-08-01,2025-09-30,"B[1,7,59]S[1,7]"
君帆,4584-TW,4.940711462450593,28.57576000000001,2,100.0,10.0,0.3850942098189202,2022-10-05,2025-09-30,"B[1,7,59]S[1,7]"
